"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-03","32","H,,S","37",",,W","27",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-04","33","H,,S","39",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-05","35","H,,S","42",",,W","29",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-06","37","H,,S","45",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-07","42","H,,S","53",",,W","35",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-08","51","H,,S","61",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-09","50","H,,S","62",",,W","41",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-10","59","H,,S","70",",,W","53",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-11","61","H,,S","68",",,W","50",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-12","49","H,,S","54",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-13","55","H,,S","63",",,W","47",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-14","48","H,,S","51",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-15","49","H,,S","57",",,W","45",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-16","50","H,,S","58",",,W","42",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-17","51","H,,S","63",",,W","44",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-18","52","H,,S","61",",,W","44",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-19","44","H,,S","47",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-20","40","H,,S","45",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-21","40","H,,S","51",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-22","43","H,,S","53",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-23","55","H,,S","72",",,W","45",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-24","49","H,,S","56",",,W","45",",,W"
